x	y	resid
169540.03	432077.97	-84.3306
171138.48	427927.22	41.6786
173423.03	433443.28	26.4487
177148.41	431611.59	6.1136
170587.59	429476.41	5.1228
180895.59	424046.78	-8.5513
180449.86	421775.28	-4.6503
164503.77	431974.88	22.0535
176219.89	429515.03	-2.3248
171051.64	432120.56	6.5609
176793.41	433301.88	7.46
181596.81	423513.03	104.8552
157906.44	431223.81	-77.4327
165398.28	427287.13	14.7635
158893.44	426625.84	6.5481
166344.41	430752.25	-9.9641
165759.50	429354.00	-19.6076
162423.91	428663.00	11.669
179222.41	426981.78	6.9866
176005.03	431975.78	13.4879
176170.67	426603.72	26.6776
176011.52	431825.97	26.1735
180747.95	432300.88	-14.7164
177928.80	429479.06	-0.7788
171903.44	431815.59	8.1163
178291.50	427832.91	1.7687
183401.38	429194.50	5.8694
179598.16	422893.19	-9.866
184047.19	422288.50	5.2496
181967.83	418487.69	13.8971
180725.58	419022.16	-0.268
164997.31	426636.06	2.0334
168927.80	431510.03	13.4328
169127.80	432860.66	-127.6641
177596.20	432183.75	9.8737
173373.91	432229.16	11.1445
177461.88	422877.06	-5.4644
172269.30	428868.38	4.5182
181894.13	421258.69	6.7809
180754.28	429739.06	-88.2251
180525.80	419761.13	17.5741
182342.52	427798.75	-83.0106
158709.77	426866.81	11.0826
164555.06	432346.13	-246.3286
163249.13	431377.03	6.4956
167461.84	427605.66	-54.3854
173222.67	427671.28	4.1252
171417.91	426992.50	-4.3487
177230.95	432344.50	20.9151
180654.66	429946.03	-108.2162
185271.38	421591.31	3.147
180653.83	428853.38	6.7252
186005.63	420401.16	-67.5694
159450.09	427227.63	2.3975
157161.91	426882.94	23.0528
159362.13	432171.09	-14.2814
176073.58	426570.16	1.4351
170115.50	430057.97	-22.4443
171797.08	431306.34	2.6552
175790.88	432817.75	10.8055
184264.58	421173.66	-24.034
179061.52	430907.38	26.9796
173862.23	428563.28	0.01
183662.13	419757.59	-2.8928
159870.58	427039.75	-9.0089
165313.05	432395.19	-18.7898
164907.19	425672.81	-34.6727
164076.06	430100.06	-2.2489
169806.70	433845.53	-202.6714
168265.88	426985.94	27.3726
162806.55	431806.91	6.5567
164877.25	431305.09	-6.2183
177613.67	426127.03	-33.527
179120.97	425906.53	-163.9941
178465.73	420487.31	-33.5308
159613.63	425504.25	3.695
158045.66	428161.59	5.8941
160490.98	430008.56	20.4098
164315.20	429283.53	1.8158
167175.53	432901.34	-1.3188
160360.36	427192.84	3.7582
170711.09	427330.88	-26.8566
177800.16	431406.78	7.0271
178323.13	428499.25	-16.688
178471.58	432586.44	41.4446
182687.00	424204.75	78.1382
178082.38	431630.16	16.2881
176810.83	429931.13	-5.3425
159326.42	426164.69	16.2143
162174.86	430338.78	-6.3245
165260.14	430568.41	8.5013
160564.64	428124.63	0.8991
157346.22	425744.22	179.2797
160436.34	429926.41	3.5066
164835.50	429800.69	159.1097
172151.17	431427.19	-31.3261
176484.86	427595.25	-2.4114
179964.36	421736.16	-0.6866
184621.33	421422.19	58.1553
184928.16	420441.97	25.319
180528.19	424594.91	44.1902
185230.09	419417.88	-32.2509
173717.78	423451.66	17.6762
175139.78	424346.44	-89.6096
173316.94	432930.25	-0.675
177873.59	429173.66	-8.3179
172943.55	432274.59	27.6107
173974.06	426059.16	40.6694
176812.61	432836.91	50.9978
182732.64	418246.38	-12.132
183935.03	418901.88	-125.081
157873.28	428272.72	-15.0173
166601.38	431684.59	30.7463
169369.58	430887.16	21.9083
164739.22	428321.47	-1.3817
169130.38	427469.91	0.4
179957.63	427109.56	-27.7058
176879.34	427035.38	34.5811
177087.59	430462.88	-1.1934
177095.98	426432.97	-51.4804
175105.72	425769.16	-0.8305
178111.53	429300.00	6.7981
173531.14	426049.25	3.9194
171014.50	429599.63	5.5433
177784.78	423097.00	79.8309
174040.44	429338.81	28.2663
178893.86	432543.44	-254.399
178749.83	430786.09	5.5745
173314.20	424851.72	77.9814
181509.80	424660.75	113.7116
183057.28	427939.69	-26.4468
183303.23	422524.38	-440.629
169998.22	431428.56	19.4895
161203.41	429245.59	9.483
166145.92	430656.19	-0.6419
160214.91	430290.97	25.6681
167600.34	430048.50	11.8625
169315.80	433185.97	-20.7368
165873.56	432851.34	-13.4029
165653.73	427592.81	-70.567
173132.91	433567.78	94.5631
172301.59	427316.31	20.914
174646.28	432846.25	-4.1889
177472.39	424056.69	-29.0442
180658.08	432939.34	196.4287
179577.27	428536.19	4.4527
183143.31	425296.50	-101.1096
184866.17	419447.22	13.8956
182290.36	423805.28	-55.5484
186180.69	420114.94	-4.1737
